,sim_id,policy,time,RT,WT
299,27,greedy,7,2.338197452974369,0
300,27,greedy,14,9.838322046326725,0
301,27,greedy,23,32.78842248522221,8
302,27,greedy,36,33.77235580295641,19
303,27,greedy,37,36.268615616312424,16
304,27,greedy,40,31.23898367567658,18
305,29,greedy,11,1.2928055334009287,0
306,29,greedy,13,1.9332897394279493,0
307,29,greedy,14,3.881989176165351,0
308,29,greedy,21,10.008202861245666,0
309,29,greedy,22,10.20234666215713,0
310,29,greedy,27,13.661907662161362,0
311,29,greedy,27,18.479640611818,0
312,29,greedy,41,22.51614092143771,11
313,29,greedy,44,26.78459083639913,10
314,29,greedy,58,43.279028823053466,24
315,23,greedy,1,3.881989176165351,0
316,23,greedy,2,9.78031842602857,0
317,23,greedy,11,5.568212071703045,0
318,23,greedy,12,1.2928055334009287,0
319,23,greedy,24,8.569531587825066,0
320,23,greedy,28,28.64894493903593,0
321,23,greedy,30,10.321515213948196,0
322,23,greedy,32,16.386416785661176,0
323,23,greedy,35,11.8326421606824,2
324,23,greedy,37,10.972076920988007,0
325,23,greedy,55,23.730135848985952,15
326,23,greedy,57,27.746583032265754,15
327,28,greedy,0,9.180461006791747,0
328,28,greedy,2,13.58836418696931,0
329,28,greedy,8,3.881989176165351,0
330,28,greedy,12,19.22528351374513,0
331,28,greedy,14,11.717470526252646,0
332,28,greedy,14,15.686028032929983,0
333,28,greedy,34,25.321515213948196,15
334,28,greedy,37,32.846355165870854,18
335,28,greedy,49,42.17111477738383,23
336,28,greedy,53,28.321515213948196,18
337,28,greedy,56,25.2039812618541,15
338,28,greedy,59,22.562389139271538,6
